no,text
733,reverse the semmantics of mule-8415 . the flag introduced in mule-8415 disables dependency injection for devkit components . we need it to be other way around . by default   mule is not to inject into devkit and the property is to be renamed to mule.devkit.participates.di and only when set to true devkit will be considered into di .
734,exposes information needed by datamapper in order to run as a plugin . datamapper is accessing some elements in our code that is defined as protected . because now datamapper is going to be a mule plugin   this wo n't work anymore as it will ran in a different classloader . need access to the following fields on mvelexpressionlanguage : globalfunctions   parserconfiguration and aliases need access to muleimmutablevariableresolver class
735,ensure that transformers use a proper return datatype . transformers define an output datatype which is set on the message after the transformation . in order to properly propagate message datatype   transformers must return the proper type   mimetype and encoding that corresponds to the executed transformation .
736,di should never include devkit components . although mule-8534 and mule-8415 tried to keep some level of compatibility between mule 's injector and devkit 's components   some other integration issues keep popping up so we decided that for now devkit will be excluded from it . devkit will provide its own solution for di
737,dispose lifecycle phase is invoked even when initialise phase fails . dispose ( ) should not be invoked if initialise ( ) fails . at least thats how i believe it always worked . this change causes npe 's in dispose ( ) in a lot of cases . which results in much more verbose and confusing errores being logged .
738,lifecycle not applied to objects manually registered during initialisation . suppose an initialisable or startable object which during any of those phases registers a new lifecycle object ( e.g . : like an endpoint which creates and registers a connector ) . only the already completed phases are applied to the newly registered object while the one being currently executed is n't
739,cxf schemas for 3.5 and 3.6 are wrong . https : //github.com/mulesoft/mule/blob/mule-3.x/modules/cxf/src/main/resources/meta-inf/spring.schemas # l5-l6
740,core schema for 3.6 is not defined and rubbish at the end of line . https : //github.com/mulesoft/mule/blob/mule-3.x/modules/spring-config/src/main/resources/meta-inf/spring.schemas # l11 and remove rubbish bracket at end of line .
741,upgrade spring security to 4.0.1.release . spring dependencies were updated to 4.1.6 and keeping spring security in 3.1.0 is an important risk .
742,update c3p0 to version 0.9.5 . there is a new version of c3p0 . would be great to update it to replace the old version that is shipped on mule
743,add max-send-buffer-size entry in wrapper.conf . we need to add that property now that it 's available .
744,promote to public api defaulthttplistenerconfig.resolvepath or equivalent behavior . there 's no way to resolve the full path of a listener using the public api . mule 3.6 offered the following method that was changed in 3.7 : { code } public string resolvepath ( string listenerpath ) { code }
745,springregistry is not thread-safe . in versions prior to 3.7.0   the springregistry was read only and all objects registered through the muleregistry api went to the transient registry . per the work in mule-7588   the transientregstry no longer exists and the springregistry is writable . however   it 's missing the readwritelock that transientregistry had to allow register and lookup objects concurrently . this causes random failures   specially when dealing with dynamic endpoints
746,fix jffi version . the jruby pom does n't specify a version for jffi   so maven picks the last one available . as a result   each time a new version of jffi is released   the build breaks because the whitelist validation fails . fix in 1.2.9 which is the latest available at this moment
747,add support for preemptive basic authentication in the http module . allow to configure if basic authentication is preemptive or not in the new http connector   by adding an attribute to the config : preemtive= '' true|false|expression '' also add this to the config builder in the public api of the connector .
748,applications and corresponding domains should share the same optionalobjectcontroller . optionalobjectscontroller is used to track objects registered through registry-bootstrap.properties which are optional . when an application belongs to a domain   that instance should be shared between the app and the domain .
749,dependency injection fails when injection candidate is registered on domain . when the @ inject annotation is used to inject an instance which leaves on the parent domain context   injection fails
750,add support for expressions in the authentication configuration of the http connector . add support for mel expressions in the attributes of the authentication elements of the new http connector .
751,datatype does not validates encoding . when setting the encoding in payload   transformers   properties and variables with an incorrect value it is not validated . in the other hand the mimetype throws an exception . i think that the encoding should have the same behaviour . when you set the property `` contenttype '' it let you use any value in both mimetype and encoding . but maybe in the content type situation is the desired behaviour . steps to reproduce ( see attached app ) : set payload : 1 ) send http request to http : //localhost:8081/encoding_not_throw_exception : there the first set payload set the encoding with an invalid value but as then there is another set payload that set the encoding to a valid encoding there is not exception . 2 ) send http request to http : //localhost:8081/encoding_throw_exception : here the set payload set an invalid encoding value and it throws `` java.io.unsupportedencodingexception '' . properties : 1 ) send http request to http : //localhost:8081/encoding_not_throw_exception_in_properties : 2 ) set property sets the encoding with a wrong value . in the check in the outbound property log : outbound scoped properties : pepe=2 pepe-datatype=simpledatatype { type=java.lang.integer   mimetype='text/plain '   encoding='qwd ' }
752,inbound properties copied to outbound properties not maintain their datatypes . when the inbound properties are copied to outbound properties they should maintain their datatypes . right now they are setted to the default message type ( encoding = null   mimetype = \ * /\ * ) . 1 ) send http request to http : //localhost:8081/copy_property . 2 ) in the first log you can check that the outbound property `` inboundprop '' has mimetype= '' text/xml '' encoding= '' utf-8 '' before the vm connector . 3 ) after the vm connector the inboundproperty `` inboundprop '' is copied from the inboundproperties to outboundproperties with `` < copy-properties propertyname= '' inboundprop '' doc : name= '' copy property '' / > '' . then you can check in the second logger that the datatype of the `` inboundprop '' is set with encoding = null   mimetype = * / *
753,the json-to-object transformer not change the mimetype correctly . it should set application/json . the json-to-object not change the mimetype correctly . it should set application/json as mimetype but keep text/javascript after an http request . steps to reproduce ( see attached app ) : 1 ) send http request to http : //localhost:8081/json_object_wrong_mime_type . 2 ) check in the log the datatype of the message after json-to-object transformer in the outbound property `` json_object_datatype '' .
754,datatype can not be configured when adding properties using message-property-transformer . you ca n't set the datatype to the properties in the message properties transfomer
755,fix jdk8 build . tests run in a different order in the jdk8 build   so httpsshareporttestcase fails in that case because of some other test that runs before it .
756,spike on collection splitter is not setting the group size when payload is an iterator . salesforce queries return an iterator and when a collection splitter is used   it fails to aggregate the collection after because the group size is set to -1. attached mule config this seems to be happening because this class https : //github.com/mulesoft/mule/blob/bfb3a17263d1e4b32ee10272cbf710a2bf41b16b/core/src/main/java/org/mule/routing/outbound/iteratormessagesequence.java is used from https : //github.com/mulesoft/mule/blob/1dbf6e09a651184e9c54ec8988ecf1907cbdd58f/core/src/main/java/org/mule/util/collection/eventtomessagesequencesplittingstrategy.java and it is setting unknown_size as group size for all iterator payloads
757,spike - mule support xa transaction on xa resources used by a spring object component ? . as you should know   a common use case is the bridge pattern : * read a message from an inbound endpoint ( from a jms queue or/and a database through jdbc ) . * writing the message to an outbound endpoint ( to a jms queue or/and a database through jdbc ) . { code : xml } < service name= '' mybridgeservice '' > < inbound > < jms : inbound-endpoint queue= '' /queue/inbox '' / > < /inbound > < outbound > < multicasting-router > < jms : outbound-endpoint queue= '' /queue/outbox '' / > < jdbc : outbound-endpoint querykey= '' insertmessagestmt '' / > < /multicasting-router > < /outbound > < /service > { code } what happens then if something goes wrong when writing the result to the outbound endpoint ( eg . jdbc endpoint ) ? if you do n't use xa transaction on inbound and outbound endpoints   the message will not be rollbacked to the inbound endpoint in case of an exception . so you will have to solve this issue by configuring < xa-transaction > on each endpoint with the appropriate transaction strategy . { code : xml } < service name= '' mybridgeservice '' > < inbound > < jms : inbound-endpoint queue= '' /queue/inbox '' > < xa-transaction action= '' always_begin '' / > < /jms : inbound-endpoint > < /inbound > < outbound > < multicasting-router > < jms : outbound-endpoint queue= '' /queue/outbox '' > < xa-transaction action= '' always_join '' / > < /jms : outbound-endpoint > < jdbc : outbound-endpoint querykey= '' insertmessagestmt '' > < xa-transaction action= '' always_join '' / > < /jdbc : outbound-endpoint > < /multicasting-router > < /outbound > < /service > { code } but what happens now if you have a component between inbound and outbound enpoints ? { code : xml } < service name= '' mydaoservice '' > < inbound > < jms : inbound-endpoint queue= '' /queue/inbox '' > < xa-transaction action= '' always_begin '' / > < /jms : inbound-endpoint > < /inbound > < component > < spring-object bean= '' messagedao '' / > < /component > < outbound > < multicasting-router > < jms : outbound-endpoint queue= '' /queue/outbox '' > < xa-transaction action= '' always_join '' / > < /jms : outbound-endpoint > < jdbc : outbound-endpoint querykey= '' insertmessagestmt '' > < xa-transaction action= '' always_join '' / > < /jdbc : outbound-endpoint > < /multicasting-router > < /outbound > < /service > { code } in most cases   the spring object component ( eg . messsagedao ) will execute complicated business operations ( from a currently existing business api ) and also use a datasource to execute several sql select and update statements before returning a result to the outbound . these jdbc operations will be handled likely by spring jdbctemplate or even hibernatetemplate . as far as i understand   mule is fully responsible to handle enlistment/delistment and close of xa resources ( see _org.mule.transaction.xatransaction_ ) . so by default   xa resources used by a spring object component will not be handled by mule and will not participate in the xa transaction started from mule . for completeness ... i 've also found a unit test for this usecase in mule distribution under mule_home/src/mule-3.1.2-src.zip/org/mule/test/integration/transaction/xatransactionswithspringdao.java . when you execute this test   you will have a successful result but the xa resource used by the dao bean is not enlisted nor delisted in/from the transaction started from mule .
758,upgrade async-http-client to 1.9.21 . this version includes several fixes but depends on also upgrading grizzly .
759,upgrade grizzly to 2.3.20 . this is necessary to upgrade ahc .
760,content-type is not set on http responses . when using an objecttojson transformer ( with return type string )   `` content-type '' header is not being set in the response . this might happen with other transformers   in fact with any other thing that sets a string payload . attaching an example app that reproduces the issue . running the same app with mule 3.6 shows the right behavior .
761,jmx connection error when using jconsole . deployed an simple app with an http listener and http request . opened oracle java mission control and when i went to the threads view i got an exception on the console . i can not see the threads when using jconsole   it seems that jmc recovers from that error and shows the threads anyway but at the cost of having a big delay in the response time . this is working in 3.5.x
762,set-payload with invalid mime type returns an ugly error . when using an invalid mime type in set-payload the error message is not very clear . deploy this app : { code : xml } < ? xml version= '' 1.0 '' encoding= '' utf-8 '' ? > < mule xmlns : scripting= '' http : //www.mulesoft.org/schema/mule/scripting '' xmlns : db= '' http : //www.mulesoft.org/schema/mule/db '' xmlns : tracking= '' http : //www.mulesoft.org/schema/mule/ee/tracking '' xmlns : http= '' http : //www.mulesoft.org/schema/mule/http '' xmlns= '' http : //www.mulesoft.org/schema/mule/core '' xmlns : doc= '' http : //www.mulesoft.org/schema/mule/documentation '' xmlns : spring= '' http : //www.springframework.org/schema/beans '' version= '' ee-3.7.0 '' xmlns : xsi= '' http : //www.w3.org/2001/xmlschema-instance '' xsi : schemalocation= '' http : //www.springframework.org/schema/beans http : //www.springframework.org/schema/beans/spring-beans-current.xsd http : //www.mulesoft.org/schema/mule/core http : //www.mulesoft.org/schema/mule/core/current/mule.xsd http : //www.mulesoft.org/schema/mule/http http : //www.mulesoft.org/schema/mule/http/current/mule-http.xsd http : //www.mulesoft.org/schema/mule/ee/tracking http : //www.mulesoft.org/schema/mule/ee/tracking/current/mule-tracking-ee.xsd http : //www.mulesoft.org/schema/mule/db http : //www.mulesoft.org/schema/mule/db/current/mule-db.xsd http : //www.mulesoft.org/schema/mule/scripting http : //www.mulesoft.org/schema/mule/scripting/current/mule-scripting.xsd '' > < http : listener-config name= '' http_listener_configuration '' host= '' 0.0.0.0 '' port= '' 8081 '' doc : name= '' http listener configuration '' / > < http : request-config name= '' http_request_configuration3 '' host= '' localhost '' port= '' 8082 '' doc : name= '' http request configuration '' / > < flow name= '' nonblockingflow '' processingstrategy= '' non-blocking '' > < http : listener config-ref= '' http_listener_configuration '' path= '' / '' doc : name= '' http '' allowedmethods= '' get '' / > < set-payload value= '' response ok '' encoding= '' asdfsadf '' returnclass= '' pepe '' name= '' my-set-payload '' mimetype= '' mimetypefake '' ignorebadinput= '' false '' / > < /flow > < /mule > { code } request : ~ curl http : //localhost:8081/ javax.activation.mimetypeparseexception : unable to find a sub type . ( org.mule.api.muleruntimeexception ) . message payload is of type : bufferinputstream % app log : org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor:32 ( http : //www.mulesoft.org/docs/site/current3/apidocs/org/mule/api/messagingexception.html ) -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- root exception stack trace : javax.activation.mimetypeparseexception : unable to find a sub type . javax.activation.mimetype.parse ( mimetype.java:102 ) javax.activation.mimetype. < init > ( mimetype.java:63 ) org.mule.transformer.types.simpledatatype. < init > ( simpledatatype.java:40 ) + 3 more ( set debug level logging or '-dmule.verbose.exceptions=true ' for everything ) * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
763,deployment should fail when using invalid mime type . when deploying the below config deployment should fail because mime type does not exists . now is failing in runtime when executing the flow { code : xml } < ? xml version= '' 1.0 '' encoding= '' utf-8 '' ? > < mule xmlns : scripting= '' http : //www.mulesoft.org/schema/mule/scripting '' xmlns : db= '' http : //www.mulesoft.org/schema/mule/db '' xmlns : tracking= '' http : //www.mulesoft.org/schema/mule/ee/tracking '' xmlns : http= '' http : //www.mulesoft.org/schema/mule/http '' xmlns= '' http : //www.mulesoft.org/schema/mule/core '' xmlns : doc= '' http : //www.mulesoft.org/schema/mule/documentation '' xmlns : spring= '' http : //www.springframework.org/schema/beans '' version= '' ee-3.7.0 '' xmlns : xsi= '' http : //www.w3.org/2001/xmlschema-instance '' xsi : schemalocation= '' http : //www.springframework.org/schema/beans http : //www.springframework.org/schema/beans/spring-beans-current.xsd http : //www.mulesoft.org/schema/mule/core http : //www.mulesoft.org/schema/mule/core/current/mule.xsd http : //www.mulesoft.org/schema/mule/http http : //www.mulesoft.org/schema/mule/http/current/mule-http.xsd http : //www.mulesoft.org/schema/mule/ee/tracking http : //www.mulesoft.org/schema/mule/ee/tracking/current/mule-tracking-ee.xsd http : //www.mulesoft.org/schema/mule/db http : //www.mulesoft.org/schema/mule/db/current/mule-db.xsd http : //www.mulesoft.org/schema/mule/scripting http : //www.mulesoft.org/schema/mule/scripting/current/mule-scripting.xsd '' > < http : listener-config name= '' http_listener_configuration '' host= '' 0.0.0.0 '' port= '' 8081 '' doc : name= '' http listener configuration '' / > < http : request-config name= '' http_request_configuration3 '' host= '' localhost '' port= '' 8082 '' doc : name= '' http request configuration '' / > < flow name= '' nonblockingflow '' processingstrategy= '' non-blocking '' > < http : listener config-ref= '' http_listener_configuration '' path= '' / '' doc : name= '' http '' allowedmethods= '' get '' / > < set-payload value= '' response ok '' encoding= '' asdfsadf '' returnclass= '' pepe '' name= '' my-set-payload '' mimetype= '' mimetypefake/fake '' ignorebadinput= '' false '' / > < /flow > < /mule > { code }
764,setting wrong encoding causes flow execution to hang . deploy the below config and run this : curl -m 10 http : //localhost:8081/ curl : ( 28 ) operation timed out after 10004 milliseconds with 0 bytes received it logs an error as soon as i send the request but then i only receive the curl timeout without mule doing anything . when i remove encoding= '' asdfsadf '' ti returns 200 immediately .
765,deployment should fail when using invalid encoding . when deploying the below config deployment should fail because encoding does not exists . now is failing in runtime when executing the flow { code : xml } < ? xml version= '' 1.0 '' encoding= '' utf-8 '' ? > < mule xmlns : scripting= '' http : //www.mulesoft.org/schema/mule/scripting '' xmlns : db= '' http : //www.mulesoft.org/schema/mule/db '' xmlns : tracking= '' http : //www.mulesoft.org/schema/mule/ee/tracking '' xmlns : http= '' http : //www.mulesoft.org/schema/mule/http '' xmlns= '' http : //www.mulesoft.org/schema/mule/core '' xmlns : doc= '' http : //www.mulesoft.org/schema/mule/documentation '' xmlns : spring= '' http : //www.springframework.org/schema/beans '' version= '' ee-3.7.0 '' xmlns : xsi= '' http : //www.w3.org/2001/xmlschema-instance '' xsi : schemalocation= '' http : //www.springframework.org/schema/beans http : //www.springframework.org/schema/beans/spring-beans-current.xsd http : //www.mulesoft.org/schema/mule/core http : //www.mulesoft.org/schema/mule/core/current/mule.xsd http : //www.mulesoft.org/schema/mule/http http : //www.mulesoft.org/schema/mule/http/current/mule-http.xsd http : //www.mulesoft.org/schema/mule/ee/tracking http : //www.mulesoft.org/schema/mule/ee/tracking/current/mule-tracking-ee.xsd http : //www.mulesoft.org/schema/mule/db http : //www.mulesoft.org/schema/mule/db/current/mule-db.xsd http : //www.mulesoft.org/schema/mule/scripting http : //www.mulesoft.org/schema/mule/scripting/current/mule-scripting.xsd '' > < http : listener-config name= '' http_listener_configuration '' host= '' 0.0.0.0 '' port= '' 8081 '' doc : name= '' http listener configuration '' / > < http : request-config name= '' http_request_configuration3 '' host= '' localhost '' port= '' 8082 '' doc : name= '' http request configuration '' / > < flow name= '' nonblockingflow '' processingstrategy= '' non-blocking '' > < http : listener config-ref= '' http_listener_configuration '' path= '' / '' doc : name= '' http '' allowedmethods= '' get '' / > < set-payload value= '' response ok '' encoding= '' asdfsadf '' name= '' my-set-payload '' / > < /flow > < /mule > { code }
766,keepalive is not working correctly in the http requester . keepalive is not working as expected . the http : request element always sends the header connection : keep-alive in the request   regardless of the usepersistentconnections attribute in the config . if usepersistentconnections is set to false   keepalive should be disabled   but the header is still sent . also   in the proxy scenario ( using a listener and a requester ) connections are kept alive but not reused . see example config here : https : //github.com/mulesoft/performanceworks/blob/master/apps/proxy-mcd/100b/http_module_proxy/proxy.xml this causes `` remotely closed '' errors   thrown by the service that is being proxied in a highly concurrent scenario .
767,incorrect error processing on jetty transport . jetty transport is not properly managing error conditions that occur when a mulemessage fails to be created for the current request . for example   if a request contains an invalid mimetype   it wo n't be possible to create a defaultmulemessage from it   an exception will be thrown to signal the error   but the returned response will be a 200 instead of 500 . ( note : the problem exists only when there is no mulemessage   once it has been created   then it works as expected )
768,using preemptive basic authentication in the new http module uses two request where the user/pass are invalid . using the correct user/pass in basic authentication with preemptive enabled in the new http module works fine . you send a single request with the authorization field and you receive a 200. but in the case when you use a wrong user/pass   it send fine the authorization field but when the server respond with a 401   the requester send a new requester trying to be authorize . see the attached files with the comparison of how works the http-client ( only 1 request ) and how it works the requester ( 2 requests ) +to reproduce you can use these tests : + * httprequestauthtestcase - invalidbasicauthentication ( mule-ee ) ( requeter - 2 requests ) * httplistenerauthtestcase - invalidbasicauthenticationpreemptive ( mule-ee ) ( http-client 1 request )
769,ca n't use redelivery policy . if an idempotent-redelivery-policy is defined for an inbound-endpoint   the execution of the flow will halt after the following message : org.mule.processor.idempotentredeliverypolicy : the message can not be processed because the digest could not be generated . either make the payload serializable or use an expression .
770,should be able to fetch prototype by name without lifecycle applied . in most scenarios   when a prototype is lookup up by name   lifecycle should be applied to it before returning . there 're some scenarios ( e.g . : fetching a messageprocessor that will go into a dynamicpipeline ) which are not so and we need a way to specify that this case is different . the following method was applied to the lifecycleregistry to support such case : { code : java } / * * * look up a single object by name . * < p/ > * because { @ link # lookupobject ( string ) } will * return objects which had lifecycle phases * applied   this method exists for cases in which * you want to specify that lifecycle is not to be * applied . the actual semantics of that actually depends * on the implementation   since invoking this method * might return a new instance or an already existing one . * if an existing one is returned   then the lifecycle might * have been previously applied regardless . * * @ param key the key of the object you 're looking for * @ param applylifecycle if lifecycle should be applied to the returned object . * passing { @ code true } does n't guarantee that the lifecycle is applied * @ return object or { @ code null } if not found * / < t > t lookupobject ( string key   boolean applylifecycle ) ; { code }
771,update mvel version to 2.1.9-mule-006 . need to update mvel to include the fix for mule-8336
772,regression found on proxy scenario with the new http module . . proxy scenario have a regression between 3.7.0-snapshot 1 and 2   build on may 12. build tps latency 3.7.0-rc 6847.83 27.9199 3.6.2 18380.5 8.63 diff % -62.74 % 223.52 %
773,review event copying and access control in non-blocking support . need to ensure there are no issues ..
774,add dynamic configurations for db connector . current db connector configurations are static   that is   configured values are defined when mule starts and never changed . in order to support multi-tenant scenarios   db configurations must be dynamic . that is   configured values could be expressions that are resolved for each muleevent . with this feature   a single db config can be resolved to multiple db on runtime depending on how the expressions are resolved
775,support disablepropertiesasheaders in http : request builder config . http : listener element supports disablepropertiesasheaders in the response builder configuration . we should add support for disablepropertiesasheaders in the http : request builder element . also it must support mule expressions .
776,connection and keep-alive message properties should not affect listener/requestor connection reuse behaviour . . listener can be set up to use persistent connections and client attempt to reuse connections   but if for some reason a `` connection '' header gets returns to the listener this behaviour breaks . connection reuse behaviour should be encapsulated in listener/requestor .
777,review cxf documentation . review cxf documentation
778,http connector should not send/respond http . * properties . http connector knows these properties are internal   so it makes sense that they are filtered and not sent .
779,http listener connector reject a get and delete that contains a body . . http : //forum.mulesoft.org/mulesoft/topics/http-get-delete-how-to-get-the-body-of-request-using-http-listenner-connector
780,concurrentmodificationexception when hot deploying . to reproduce : # deploy first application in mule standalone ce # deploy second application to a different server ( app1 depends on it ) # load application with some requests ( do n't know if this is needed to reproduce ) # deploy third application by moving the exploded app to apps directory
781,[ regression ] npe when filter fails . when a filter evaluation fails message is discarded but a npe is shown in app log .
782,resolve data type from simple mel expressions . now that datatype is being propagated for payload and properties   it would be good if datatype can be propagated when mel expressions are used . for example   when using set-payload with `` flowvars [ 'foo ' ] '' expression   it would be good if the property datatype is assigned to the payload 's datatype . simple expressions include : * payload/message.payload * direct access to invocation/session properties   like # [ foo ]   where foo is an invocation/session variable * access to flowvars   like flowvars [ 'foo ' ] * access to sessionvars   like sessionvars [ 'foo ' ]
783,securityfiltermessageprocessor does not support non-blocking . . securityfiltermessageprocessor should implement nonblockingsupported
784,ca n't use redelivery policy with ftp . if an idempotent-redelivery-policy is defined for an inbound-endpoint   the execution of the flow will halt after the following message : org.mule.processor.idempotentredeliverypolicy : the message can not be processed because the digest could not be generated . either make the payload serializable or use an expression .
785,update jython to 2.7.0 . update to the lastest jython release
786,database connector artifact located in registry no longer implements testable and datasense interfaces . all datasense related functionality for the database connector is no longer working due to the connector/config element stored in the registry not implementing the required interfaces
787,xmlstreamexception when using non blocking cxf : proxy-service and cxf : proxy-client . steps to reproduce : - deploy the attached apps ( the leagues-ws will work as a server and the wsdl-proxy as a proxy )   notice that the wsdl-proxy app is prepared to be non-blocking . - make a the following request : url http : //localhost:8090/api headers : soapaction : getteamsaction content-type : text/xml ; charset=utf-8 body : { code } < soapenv : envelope xmlns : soapenv= '' http : //schemas.xmlsoap.org/soap/envelope/ '' xmlns : leag= '' http : //leagues.examples.mule.org/ '' xmlns : soc= '' http : //mulesoft.com/schemas/soccer '' > < soapenv : header/ > < soapenv : body > < leag : teams > < /leag : teams > < /soapenv : body > < /soapenv : envelope > { code } this warning appears in the log of every request
788,xml header is not removed when proxying   using non blocking cxf : proxy-service and cxf : proxy-client . steps to reproduce : - deploy the attached apps ( the leagues-ws will work as a server and the wsdl-proxy as a proxy )   notice that the wsdl-proxy app is prepared to be non-blocking . - make a the following request : url http : //localhost:8090/api headers : soapaction : getteamsaction content-type : text/xml ; charset=utf-8 body : { code } < soapenv : envelope xmlns : soapenv= '' http : //schemas.xmlsoap.org/soap/envelope/ '' xmlns : leag= '' http : //leagues.examples.mule.org/ '' xmlns : soc= '' http : //mulesoft.com/schemas/soccer '' > < soapenv : header/ > < soapenv : body > < leag : teams > < /leag : teams > < /soapenv : body > < /soapenv : envelope > { code } notice that the soap envelope does not contain the xml tag : < ? xml version= '' 1.0 '' encoding= '' utf-8 '' ? > but the response has it . this issue does not happen if the proxy is prepared to be blocking ( ie . the response never contains the xml tag ) . also   the previous versions of mule did n't add the tag in the response . this issue appears on every request .
789,nullpointerexception testing connection on db connector from studio . when testing connectivity on the attached app from studio   a npe exception is being thrown . problem is that datasource 's url is wrong ( using http instead of jdbc : mysql prefix ) . this causes mysql driver to return a null connection instead of throwing an exception . then db connector wraps that connection and the npe is thrown during connection.close .
790,set mime type correct for common files with ftp/file connectors . the ftp and file connectors should set mime types for common file types correct   including csv   xml   and json .
791,non-blocking processing strategy should only allow direct-threading-profile . currently we can not force the configuration to use direct-threading-profile for all non-blocking flows   this is because thread pool belong to the listener and not to the flow . we need a bigger change that we can not make now and we can only address it in mule 4. because we do n't have a concrete use scenario for using non-blocking with a worker threading profile we want to validate that you can only use direct-threading-profile for http listeners when flow 's processing strategy is non-blocking . this validation will be on runtime .
792,http listener should ignore 'transfer-encoding ' property as it is a hop-by-hop header . transfer-encoding is a hop-by-hop header and therefore should n't really be used by http listener if there is a `` transfer-encoding '' property present in the outbound property scope to determine response streaming behaviour . generally current behaviour is fine   but there is one case that is currently incorrect imo . * we should n't stream a string payload when the `` transfer-encoding '' outbound message property is present . * we should n't stream a string payload when the `` transfer-encoding '' and `` content-length '' outbound message properties are both present . * aso   while i think it is probably correct that a string payload should be streamed when a `` transfer-encoding '' header is configured and streaming mode is 'auto ' . this is not the way the user should be enabling streaming and i suggest we log an info message whenever a transfer-encoding header is set suggesting the user uses the responsestreamingmode attribute instead . failing test that show this can be found in this branch : https : //github.com/mulesoft/mule/compare/mule-8676 * auto behaviour appears to be inconsistent with http requestor because the presence of both transfer-encoding/content-length headers results in no streaming with requestor   but streaming with listener *
793,http requestor should ignore 'transfer-encoding ' property as it is a hop-by-hop header . transfer-encoding is a hop-by-hop header and therefore should n't really be used by http requestor if there is a `` transfer-encoding '' property present in the outbound property scope to determine request streaming behaviour . generally current behaviour is fine   but there is one case that is currently incorrect imo . * we should n't stream a string payload when the `` transfer-encoding '' outbound message property is present . also : * aso   while i think it is probably correct that a string payload should be streamed when a `` transfer-encoding '' header is configured and streaming mode is 'auto ' . this is not the way the user should be enabling streaming and i suggest we log an info message whenever a transfer-encoding header is set suggesting the user uses the responsestreamingmode attribute instead . * there are currently no tests covering the case when these headers are configured using a < request-builder >   we should add these . * auto behaviour appears to be inconsistent with http listener because the presence of both transfer-encoding/content-length headers results in no streaming with requestor   but streaming with listener * failing test that show this can be found in this branch : https : //github.com/mulesoft/mule/compare/mule-8676
794,http requestor should not use host property . . if i have configured requestor to hit google.com   i should then not be able to set a host message property or host header ( on request builder ) that conflicts with google.com . currently if i hit google.com and i have < set-property propertyname= '' host '' value= '' pirulo '' / > in my flow then google with receive `` host : pirulo '' . if the host configured is an ip address then thats different   need to decide if requestor should take `` host '' value from message properties or only from response-builder ( or neither ) in that case .
795,allow tls context to be shared in a domain . it 'd be good to be able to share a tls context so that several shared listener configs can use the same one . another benefit is that all that data ( including passwords ) will only need to be visible at the domain level   so app developers could use the certs without having access to the perhaps critical data .
796,copyonwritecaseinsensitivemap should be interoperable with a regular map . copyonwritecaseinsensitivemap provides improved performance in cases in which reads vastly outnumbers reads . however   it 's not good when : * i want to create a copyonwritecaseinsensitivemap from an existing map * the initial assumption stops being true and i want to transform the copyonwritecaseinsensitivemap to a regular one this should be supported
797,passing a jaxb annotated pojo to the http listener response is throwing a transformer error . using the workday connector and sending a pojo with results to the http listener is throwing the copied transformer error . there is a simple app attached to reproduce it .
798,remove registry deprecation warnings from log . . in api gateway we need to use a registry feature that generates several log entries like : { code } warn 2015-06-05 16:41:53 968 [ thread-2 ] org.mule.registry.defaultregistrybroker : 3 registries have been registered   however adding registries has been deprecated as of mule 3.7.0 { code } how to reproduce : - configure gw to use any valid organization - deploy an api with autodiscovery - run gw expected : - the information is not logged at all in no log file . actual : - the information is logged in mule_ee with warn level .
799,xa transaction must set tx timeout in xa resources . xa transaction must set tx timeout in xa resources
800,process_complete pipeline notification not sent when strategy is nb and the last component in the flow is not nb . having a flow using non-blocking processing strategy where the last component is not non-blocking prevents process_complete pipeline notification to be fired . steps : 1 ) call the listener in the attached app 2 ) check pipeline notifications expected : - process_start   process_end and process_complete are fired actual : - only process_start and process_end are fired
801,nonblockingnotsupportedfunctionaltestcase.aggregator caused inboundaggregationnotimeouttestcase to fail . . messages created in nonblockingnotsupportedfunctionaltestcase.aggregator are not related by their rootid which caused inboundaggregationnotimeouttestcase to fail .
